"title","description"
"T-503 · Chunker v2","Line-kind classification rewritten with real token counts and mandatory source byte spans. AC: span integrity property tests; v1 boundary cases green.

deps: T-301

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-504 · Chunk-first write path","Chunks embedded and indexed at capture flush; parent rollup vector. AC: idempotent re-flush; parent-child integrity test.

deps: T-503, T-402, T-202

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-505 · Routes and RRF fusion","Ported RetrievalRoute/RouteRunner; vector, keyword (Lance FTS), temporal routes; RRF with metadata prefilters. AC: route timeouts and metrics; fusion rank tests; one stack serves search and packs.

deps: T-504, T-203

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-506 · Ported ranking adjustments with attribution","Source-alignment ladder, diversity pass, staleness multipliers as named additive features in FusionSignals. AC: per-feature attribution visible in results; each feature has its own test and bench delta.

deps: T-505

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-507 · Relevance gate, verifier, evidence pack","Three-state verdict, two-backer rule, evidence pack shape (ported). AC: verdict state machine tests; citations resolve to real records.

deps: T-505

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-508 · FNDR-Bench v1 with baselines and CI gate","BM25-only, vector-only, POC-pipeline, and at least one off-the-shelf naive-RAG baseline on the same corpus (methods, not competitors); CI compares PRs to the committed baseline on the train split only; the held-out split is scored rarely and reported separately. AC: numbers committed; a deliberate regression PR is blocked; held-out numbers never appear in tuning loops.

deps: T-502, T-505

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-509 · Reranker ablation","AC: promotion decision recorded with numbers; loser stays behind a flag.

deps: T-406, T-508

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E05""
/milestone %""M3-AgentContext"""
"T-510 · Chunk vs whole-record ablation","The v1 ADR-008 claim finally measured. AC: result published in the bench report.

deps: T-508

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E05""
/milestone %""M3-AgentContext"""
"T-511 · Latency instrumentation at scale","1M-row synthetic store; p50/p95 against PRD P0.8. AC: targets met or a remediation ticket opened before the gate.

deps: T-505

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M3-AgentContext"""
"T-512 · Context usefulness rubric and human review loop","Define the usefulness rubric for context packs and summaries (v1 pain point 1); weekly scored dogfood queries by all four builders with inter-rater agreement reported; LLM-judge harness for summary quality on real models (the v1 evals concept, done honestly). AC: rubric doc exists; first weekly scores recorded with agreement statistics; judge scores appear in the bench report; progress tracked against the G-metric of 80% rated useful-without-edits by month 6.

deps: T-502

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-513 · Real-model eval CI lane","Per-PR quality gate on Linux runners (cached Q8_0 GGUF, small fixed corpus, Recall@5/MRR only) plus a nightly or label-triggered macOS parity lane; hosted macOS runners have no Metal and 3 vCPUs, so no latency or RAM assertion ever runs in CI (those come from the reference machine via T-502). AC: PR gate under 15 minutes; nightly lane green; a mock embedder cannot pass either lane (P0.7).

deps: T-502

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-514 · Faithfulness slice: labelled unanswerable queries","Bench queries whose correct output is NotEnoughEvidence, so verdict overclaiming becomes a measured regression; plus a small claim-support audit in the weekly rubric (citations must support, not merely resolve). AC: verdict-accuracy metric in the bench report; an overclaiming regression blocks like any other bench regression.

deps: T-501

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E05""
/milestone %""M2-Retrieval"""
"T-515 · Visual similarity search (SigLIP 2)","Image-embedding similarity over captures behind the same privacy gates (PRD P1). AC: image-to-image retrieval on a fixture set; storage and RAM within budget; off by default until the bench slice exists.

deps: T-401

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E05""
/milestone %""M5-AssistantProof"""
"T-601 · Port deterministic insight derivation","Insight fields, low-RAM fusion fallback, durable-context composer. AC: v1 tests green; no-LLM path produces complete records.

deps: T-301

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E06""
/milestone %""M2-Retrieval"""
"T-602 · Port VLM synthesis prompts and grounding validation","MEMORY_SYNTHESIS_PROMPT, VOICE_RULES, parse clamps, grounding validator, narration filter minus the v1 self-referential regex hack. AC: prompts byte-identical to v1; validator adversarial tests.

deps: T-405, T-601

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E06""
/milestone %""M2-Retrieval"""
"T-603 · Single embedding-document composer","One composer for capture and review (fixes v1 drift); insight-first embedding text with provenance manifest. AC: capture and review produce identical embedding text for identical records.

deps: T-402, T-601

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E06""
/milestone %""M2-Retrieval"""
"T-604 · Review worker on durable queue","Attempt caps, backoff, per-record lock, pressure gating, skip-vs-fail classification. AC: deterministic-failure record retries capped; queue survives restart.

deps: T-201, T-403, T-603

/label ~""lane::ml"" ~""prio::p0"" ~""epic::E06""
/milestone %""M2-Retrieval"""
"T-605 · Daily consolidation pass","Per-record locking (never batch-holding the model queue), dry-run mode, local-day handling. AC: v1 daily tests ported; capture never starved during a pass.

deps: T-604

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E06""
/milestone %""M2-Retrieval"""
"T-606 · Lifecycle end to end","Enum through IPC to vault chips. AC: five states render; reviewed summary preferred in previews.

deps: T-604

/label ~""lane::frontend"" ~""prio::p1"" ~""epic::E06""
/milestone %""M2-Retrieval"""
"T-701 · MCP transport with auth-always","Official Rust SDK, streamable HTTP, bearer required in all modes, constant-time compare, origin/host allowlist, audit log, owner-only discovery file (ADR-007). AC: unauthenticated and cross-origin calls rejected by test; the two v1 audit holes are named regression tests.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M2-Retrieval"""
"T-702 · Tools wave 1","search, context_pack, timeline, recall, project_context, active_focus, privacy_status, source_evidence. AC: schema round-trip and auth-failure tests per tool; served by the same engine functions as the UI.

deps: T-701, T-505

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M2-Retrieval"""
"T-703 · Tools wave 2","delta, open_target, explain_retrieval, feedback, remember_decision (only memory-mutating tool). graph_context is split out to T-710 so a graph slip cannot block gate-critical tools. AC: same test bar; delta returns only changes since timestamp.

deps: T-702

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M3-AgentContext"""
"T-704 · Resources and prompt registry","Three fndr:// resources; prompts with real per-prompt argument schemas. AC: resources/list and prompts/get round-trip.

deps: T-701

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E07""
/milestone %""M3-AgentContext"""
"T-705 · Scoped tokens, revocation, rate limits","Per-client tokens, per-tool limits. AC: revoked token 401s on next call; limit test.

deps: T-701

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M3-AgentContext"""
"T-706 · MCP contract doc","docs/mcp.md v2 with per-tool schemas and the v1-to-v2 mapping. AC: doc examples execute against a dev server.

deps: T-703

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M3-AgentContext"""
"T-707 · Connect-your-agent onboarding","Claude Desktop/Code config snippets, token issuance UI. AC: a fresh install reaches a working agent call following only the UI.

deps: T-702

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M3-AgentContext"""
"T-708 · Tunnel and public mode docs and tests","AC: non-loopback bind refuses to start without auth and TLS.

deps: T-705

/label ~""lane::platform"" ~""prio::p1"" ~""epic::E07""
/milestone %""M3-AgentContext"""
"T-709 · Session Story tool","`fndr.session_story` (ratified into ADR-007 as a P1 addition): cited narrative reconstruction of a captured work session (what happened, what changed, why), exportable as markdown for demos, interviews, and standups (v1 pain point 8). Composition logic pairs with the ml lane. AC: story over a real captured session with every claim citing records; export renders standalone; ships with schema round-trip test, auth-failure test, rate limit, and docs entry per the tool-addition rule.

deps: T-702

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E07""
/milestone %""M5-AssistantProof"""
"T-710 · graph_context tool","Bounded typed-graph neighborhood over MCP, split from wave 2 so it rides the graph epic's schedule. AC: real data from fndr-graph; the four tool artifacts per the tool-addition rule.

deps: T-702, T-1102

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E07""
/milestone %""M4-Comprehension"""
"T-711 · Grounded Q&A tool (fndr.answer)","Ratified into ADR-007 as a P1 addition: answers composed over full chunk text within a real token budget, per-claim citation checks, three-state verdict; the v1 answer path (1,000-char context, 4-extension validator) is the named anti-pattern. AC: faithfulness slice (T-514) covers it; the four tool artifacts.

deps: T-702, T-514

/label ~""lane::ml"" ~""prio::p1"" ~""epic::E07""
/milestone %""M5-AssistantProof"""
"T-712 · Agent field test against the dev server","Wire Claude Code and Claude Desktop to the dev server the week wave 1 lands; run 10 scripted agent tasks; record tool-selection quality, schema friction, and token budgets. AC: findings ticketed and feeding T-703 schemas; the first real-agent contact does not wait for the gate month.

deps: T-702

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E07""
/milestone %""M2-Retrieval"""
"T-801 · Blocklist v2","Exact-token app matching and proper suffix-domain matching; v1 false-positive cases as tests. AC: short-name substring and parent-domain escalation bugs cannot recur.

deps: T-101

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E08""
/milestone %""M1-Foundations"""
"T-802 · Sensitive-context detection as data","Configurable keyword/domain lists (ported v1 safety-gate data). AC: alert queue with dismissal keys; lists editable without code changes.

deps: T-801

/label ~""lane::backend"" ~""prio::p1"" ~""epic::E08""
/milestone %""M1-Foundations"""
"T-803 · Safety gate live on the write path","Allow/Redact/SkipStorage with secret-pattern redaction, on the storage path (PRD P0.4). Moved to M2 so it lands before dogfooding stores months of the team's own unredacted content; adversarial-suite hardening continues into M3 (T-806 window). AC: adversarial suite per class (secrets, password managers, banking, medical, private browsing) passes; redactions logged locally; pre-gate dogfood stores are purged (see T-905).

deps: T-306, T-801

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E08""
/milestone %""M2-Retrieval"""
"T-804 · Pause, incognito, menu-bar controls","Push status events, no polling. AC: toggle reflects in UI within one tick; incognito also pauses review work.

deps: T-306

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E08""
/milestone %""M1-Foundations"""
"T-805 · No-screenshot-persistence test","AC: CI test asserts no pixel bytes or paths persist from any path, including url-only and autofill flows.

deps: T-306

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E08""
/milestone %""M1-Foundations"""
"T-806 · PRIVACY.md","The boundary, egress list, verification recipe (ADR-004). AC: recipe reproduces on a clean checkout.

deps: T-103, T-803

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E08""
/milestone %""M3-AgentContext"""
"T-901 · Tauri shell foundation","Tray, autostart, single instance, main window, event bridge. AC: engine runs headless with the window closed.

deps: T-101

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E09""
/milestone %""M1-Foundations"""
"T-902 · Permissions onboarding","Screen-recording flow with plain privacy story, preceded by a verify-it-yourself trust moment (live egress counter at zero, one-click audit log, pause/incognito demonstrated) before the permission prompt; health re-check on updates (TCC mitigation). AC: denial and revocation states have guidance, never silence; the trust screen renders before the prompt.

deps: T-901, T-302

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E09""
/milestone %""M2-Retrieval"""
"T-903 · Release pipeline","Tag builds signed DMG plus updater manifest (v1 ADR-013 carried). AC: vN to vN+1 in-place update verified.

deps: T-102

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E09""
/milestone %""M2-Retrieval"""
"T-904 · Notarization integration","When the Apple account exists. AC: stapled build passes spctl.

deps: T-903

/label ~""lane::platform"" ~""prio::p1"" ~""epic::E09""
/milestone %""M6-Ship"""
"T-905 · Clean-VM QA checklist and demo-gate script","The PRD month-3 gate as an executable checklist. The demo script's spine is the counterfactual cut (the identical agent task with FNDR off, agent interrogates the user, then FNDR on, one tool call) and the live privacy negative (visit a bank and a password manager on camera, then prove absence in the vault, the pack, and privacy_status). The install step scripts the right-click Open path (ad-hoc signing; PRD open question 1 default). Includes purging pre-T-803 dogfood stores. AC: gate run recorded end to end on a clean machine.

deps: T-903, T-707, T-803, T-703

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E09""
/milestone %""M3-AgentContext"""
"T-906 · Omnibar NSPanel spike","Time-boxed one week (ADR-001 action). AC: non-activating panel with global hotkey demonstrated or the native-fallback note written.

deps: T-901

/label ~""lane::platform"" ~""prio::p1"" ~""epic::E09""
/milestone %""M1-Foundations"""
"T-907 · fndr doctor and setup diagnostics","One command and panel checking permissions, models, stores, indexes, sidecar, and MCP reachability with pass/fail reasons and an exportable report for debugging someone else's machine (v1 pain points 2 and 4). AC: a seeded fault matrix (revoked permission, missing model, stale index, dead sidecar) is diagnosed correctly.

deps: T-901

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E09""
/milestone %""M2-Retrieval"""
"T-908 · Month-3 gate dry-run","Run the full gate script two weeks before M3 close so failures are discovered with time to react instead of at the gate. AC: dry-run executed; every failure has an owner and a ticket before the real gate.

deps: T-702, T-903

/label ~""lane::platform"" ~""prio::p0"" ~""epic::E09""
/milestone %""M3-AgentContext"""
"T-1001 · UI foundation","Domain taxonomy, Zustand store, generated bindings, token theme base, useTauriEvent port. AC: no hand-written IPC types; no polling hooks for always-on state.

deps: T-105

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M1-Foundations"""
"T-1002 · Search and result cards","Surfacing reasons and signals visible; grounded-card prompt path with deterministic fallback. AC: card renders reason and citations; low-confidence prefix honored.

deps: T-1001, T-505, T-1405

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M2-Retrieval"""
"T-1003 · Memory vault v1","Browse, lifecycle chips, delete flows wired to deletion-everywhere. AC: delete from vault verifiably empties search and evidence.

deps: T-1001, T-1405

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M2-Retrieval"""
"T-1004 · Pipeline health panel","Per-stage health (ok, degraded, blocked, with reasons), SkipReason counters, model and queue status, bench snapshot, and local usage counters (queries, packs, deltas served per day) so retention is measured, not self-reported. AC: idle app performs zero status IPC; every v1 ""mysteriously not working"" class (silent capture stop, silent summary fallback) surfaces here with a reason; a builder diagnoses a seeded missing-capture case in under 2 minutes (PRD legibility metric).

deps: T-1001, T-1405

/label ~""lane::frontend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M2-Retrieval"""
"T-1007 · Capture-explain","Answer ""why was this moment not captured"" from retained gate outcomes: given a time range, return the stage and reason each frame stopped at (blocklist, dedup, admission, low-signal, pressure). AC: a seeded set of skipped moments is explained correctly from the UI.

deps: T-306, T-309, T-1004

/label ~""lane::backend"" ~""prio::p0"" ~""epic::E10""
/milestone %""M3-AgentContext"""
